No.;Phrases;Type
153;Sugar cane is raised by my uncle in Hawaii;pasivo
154;I keep the butter in the fridge;activo
155;The butter is kept in the fridge;pasivo
156;John is keeping my house tidy;activo
157;My house is being kept tidy;pasivo
158;Mary kept her schedule meticulously;activo
159;Mary's schedule was kept meticulously;pasivo
160;The theater was keeping a seat for you;activo
161;A seat was being kept for you;pasivo
162;I have kept all your old letters;activo
163;All your old letters have been kept;pasivo
164;He had kept up his training regimen for a month;activo
165;His training regimen had been kept up for a month;pasivo
166;Mark will keep the ficus;activo
167;The ficus will be kept;pasivo
168;Sheila is drinking a cup of tea.;activo
169;My father is washing the car.;pasivo
170;I would have kept your bicycle here if you had left it with me;activo
171;Your bicycle would have been kept here if you had left it with me;pasivo
172;She wants to keep the book;activo
173;The book wants to be kept;pasivo
174;Judy was happy to have kept the puppy;activo
175;The puppy was happy to have been kept;pasivo
176;I have a feeling that you may be keeping a secret;activo
177;I have a feeling that a secret may be being kept;pasivo
178;I am writing a poem.;activo
179;We are not playing football.;activo
180;Many people know Napa Valley for its excellent wines;activo
181;Napa Valley is known for its excellent wines;pasivo
182;Leonaro Da Vinci painted the Mona Lisa;activo
183;The Mona Lisa was painted by Leonardo Da Vinci;pasivo
184;He is not wearing a tie.;activo
185;Ms Sullivan teaches us grammar.;activo
186;My father made wine from grapes;activo
187;Wine is made from grapes;pasivo
188;They made many cars in Japan;activo
189;Many cars are made in Japan;pasivo
190;He is sending the document right now;activo
191;The document is being sent right now;pasivo
192;My boss is sending me to work in the London office;activo
193;I am being sent to work in the London office;pasivo
194;They invited John to speak at the conference;activo
195;John was invited to speak at the conference;pasivo
196;Daniel invited us to his wedding with Mary;activo
197;We were invited to Daniel and Mary’s wedding;pasivo
198;They were washing the dog when I got home;activo
199;The dog was being washed when I got home;pasivo
200;Charles were washing their cars while they were in the mall shopping;activo
201;Their cars were being washed while they were in the mall shopping;pasivo
202;They will sign the contract tomorrow;activo
203;The contract will be signed tomorrow;pasivo
204;They will sign all the documents next week;activo
205;The documents will all be signed by next week;pasivo
206;They are going to build a bridge within the next two years;activo
207;A bridge is going to be built within the next two years;pasivo
208;City Hall is going to build new houses in our neighborhood;activo
209;New houses are going to be built in our neighborhood;pasivo
210;They sold that start-up for $5 million;activo
211;That start-up has been sold for $5 million;pasivo
212;The teacher praised him.;activo
213;The firemen took the injured to the hospital.;activo
214;They hired the new manager before John left the company;activo
215;The new manager had been hired before John left the company;pasivo
216;They hired all the employees before the store opened;activo
217;All the employees had hired before the store opened;pasivo
218;They will have loaded the crates by then;activo
219;The crates will have been loaded by then;pasivo
220;they must stop the criminals before committing their crimes;activo
221;Criminals must be stopped before they commit crimes;pasivo
222;Alexander Fleming discovered Penicillin in 1928;activo
223;Penicillin was discovered by Alexander Fleming in 1928;pasivo
224;They are taking the statements from all witnesses at this moment;activo
225;Statements are being taken from all the witnesses at this moment;pasivo
226;An international ban on whaling must protect the whales;activo
227;Whales must be protected by an international ban on whaling;pasivo
228;Good Taste catered both weddings;activo
229;Both weddings were catered by Good Taste;pasivo
230;They steal a Picasso from the Metropolitan Museum of Art;activo
231;A Picasso was stealed from the Metropolitan Museum of Art;pasivo
232;Frederick painted the house last week;activo
233;The house was painted by Frederick last week;pasivo
234;People drink champagne on New Year’s Eve;activo
235;Champagne is drunk on New Year’s Eve;pasivo
236;Chefs use these machines to mix the ingredients;activo
237;These machines are used to mix the ingredients;pasivo
238;They renovated the restaurant in 2004;activo
239;The restaurant was renovated in 2004;pasivo
240;The teachers informed the students that the class had been cancelled;activo
241;The students were informed that the class had been cancelled;pasivo
242;Alice posted the letter.;activo
243;John Mathews built this house in 1991.;activo
244;They consider that New York is the most diverse city in the U.S.;activo
245;New York is considered the most diverse city in the U.S.;pasivo
246;They believe that Amelia Earhart's planed crashed in Pacific Ocean;activo
247;It is believed that Amelia Earhart’s plane crashed in Pacific Ocean;pasivo
248;Doctors think that the skin cancers are caused by excessive exposure to the sun;activo
249;Skin cancers are thought to be caused by excessive exposure to the sun;pasivo
250;The people see Hungarian as one of the most dificult languages to learn;activo
251;Hungarian is seen as one of the world’s most difficult languages to learn;pasivo
252;The people elected George Washinton as president in 1788;activo
253;George Washington was elected president in 1788;pasivo
254;John Kimble killed two people by shooting them on Friday night;activo
255;Two people were killed in a drive-by shooting on Friday night;pasivo
256;The fox ate pancakes;activo
257;Pancakes were eaten by fox;pasivo
258;Andres is eating his dinner;activo
259;Dinner is being eaten by him;pasivo
260;Today the dog took a test;activo
261;Today a test was taken by the dog;pasivo
262;Many people can speak chinese;activo
263;Chinese is spoken by many people;pasivo
264;I made the chocolate cookies;activo
265;The chocolates cookies were made by me;pasivo
266;Very few people own pet skunks;activo
267;Pet skunks are owned by very few people;pasivo
268;You can cook popcorn on the stove;activo
269;Popcorn can be cooked on the stove;pasivo
270;The cat burned the popcorn;activo
271;The popcorn was burned by the cat;pasivo
272;The dog bit my hand;activo
273;My hand was bitten by the dog;pasivo
274;My auntie will bake cookies for my birthday.;pasivo
275;The cookies for my birthday will be baked by my auntie.;pasivo
276;I must write an essay for Monday.;activo
277;The essay must be written on Sunday afternoon.;pasivo
278;Sandra is helping her cousin to find house.;activo
279;Sandra is cousin is been helped to find house.;pasivo
280;We must have learned this theme for the test.;activo
281;This theme must have been learned for the test.;pasivo
282;Harry has been repairing his car.;activo
283;The car has been repaired by Harry.;pasivo
284;I have seeing this program all the week.;activo
285;This program has been seen all the week by me.;pasivo
286;You can do it;activo
287;This homework can’t be done;pasivo
288;I will think of you.;activo
289;You will be tough by me.;pasivo
290;Madeleine has been traveling to Paris every week.;activo
291;Her luggage has been traveled with her;pasivo
292;They follow the ice cream car.;activo
293;The ice cream car is followed by the children.;pasivo
294;The boy is picked up by her mother every day.;pasivo
295;The wall has been painted blue.;pasivo
296;A lie was told by someone in this room.;pasivo
297;The stolen money was found by the police.;pasivo
298;Nothing can be done.;pasivo
299;The book was written by his grandmother.;pasivo
300;The pirate left the treasure where it could not be found.;pasivo
301;The song was written by me.;pasivo
302;The sweater was made by my girlfriend.;pasivo
303;These facts have been checked.;pasivo
304;More important matters must be discussed.;pasivo
305;Better results can be expected.;pasivo
306;She was nowhere to be found.;pasivo
307;Mary enjoys the view.;activo
308;The boys play basketball;activo
309;She well wear the pink dress;activo
310;Thomas told a lie.;activo
311;Dad will arrive soon.;activo
312;The mailman brought two letters.;activo
313;I do not know the answer;activo
314;You might win the race;activo
315;He could play the piano very well;activo
316;I well call you tomorrow;activo
317;Francis builds a house;activo
318;His new book was just published;pasivo
319;She was nowhere to be found;pasivo
320;The cake was not correctly prepared;pasivo
321;The girl was raised in boarding schools;pasivo
322;The fire was intentionally started;pasivo
323;The doctor was received at the airport;pasivo
324;The company was founded in 1990;pasivo
325;Jim writes a letter;activo
326;A letter is written by Jim;pasivo
327;Jim wrote a letter;activo
328;A letter was written by Jim;pasivo
329;The street is swept by Julia;pasivo
330;The cookies for my birthday will be baked by my auntie.;pasivo
331;I must write an essay for Monday.;activo
332;Sandra is helping her cousin to find house;activo
333;We must have learned this theme for the test.;activo
334;Harry has been repairing his car;activo
335;The car has been repaired by Harry;pasivo
336;I have seeing this program all the week;activo
337;This program has been seen all the week by me;pasivo
338;You can do it;activo
339;You will be tough by me;pasivo
340;The ice cream car is followed by the children;pasivo
341;The building was design by a German Architect;pasivo
342;The city was destroyed by earthquake;pasivo
343;The letter has been sent by my father;pasivo
344;Two suspects have been arrested by police;pasivo
345;The war was followed by a political crisis;pasivo
346;The money was returned by Kelly;pasivo
347;The thief was captured by the police;pasivo
348;The report has been finished by Mary;pasivo
349;The concert was enjoyed by the audience;pasivo
350;That book was written by Wilde;pasivo
351;A dancing class was started by my sister last week;pasivo
352;The cake will be eaten by Walter;pasivo
353;The mail is delivered by Andy every day;pasivo
354;The city was captured by the enemy;pasivo
355;His house was destroyed by the fire;pasivo
356;The doll house was built by Susana;pasivo
357;Susana built the doll house;activo
358;We were questioned by the police;pasivo
359;The letter will be written by the manager;pasivo
360;John writes the letter;activo
361;The letter is written by John;pasivo
362;John is writing the letter;activo
363;The boy is picked up by her mother every day;pasivo
364;The letter is being written by John;pasivo
365;John wrote the letter;activo
366;The letter was written by John;pasivo
367;John was writing the letter;activo
368;The letter was being written by John;pasivo
369;John has written the letter;activo
370;The letter has been written by John;pasivo
371;John had written the letter;activo
372;The letter had been written by John;activo
373;John will write the letter;activo
374;The letter will be written by John;pasivo
375;John is going to write the letter;activo
376;The letter is going to be written by John;pasivo
377;Bartholdi designed the Statue of Liberty;activo
378;The French gave the statue;activo
379;The Statue of Liberty was designed by bartholdi;pasivo
380;The house is cleaned by Sandra;pasivo
381;Sugar cane is raised by some people in Hawaii.;pasivo
382;The hunter killed the lion.;activo
383;The lion was killed by the hunter.;pasivo
384;Someone has cleaned the windows;activo
385;The windows have been cleaned;pasivo
386;I gave him a book for his birthday;activo
387;He was given a book for his birthday.;pasivo
388;Someone sent her a cheque for a thousand euros;activo
389;She was sent a cheque for a thousand euros.;pasivo
390;They called off the meeting.;activo
391;The meeting was called off.;pasivo
392;His grandmother looked after him.;activo
393;He was looked after by his grandmother.;pasivo
394;They will send him away to school;activo
395;He will be sent away to school.;pasivo
396;I write a letter;activo
397;A letter is written by me;pasivo
398;The girl was washing the dog.;activo
399;The dog was being washed by the girl.;pasivo
400;The fox ate pancakes.;activo
401;Pancakes were eaten by the fox.;pasivo
402;He is eating dinner.;activo
403;Dinner is being eaten by him.;pasivo
404;Today the fox took a test.;activo
405;Today a test was taken by the fox.;pasivo
406;A letter is written by Joe.;pasivo
407;My house is being kept tidy by my sister;pasivo
408;A school was built by the government;pasivo
409;The whole city has been destroyed by the earthquake;pasivo
410;An article had been published by Michael;pasivo
411;The dog will be kept by my mother.;pasivo
412;We will be waiting for you.;activo
413;The boys play basketball;activo
414;Mary enjoys the view.;activo
415;Alice posted the letter.;activo
416;A novel is being read by Mary;pasivo
417;She’ll wear the pink dress.;activo
418;John and Lucy were watching television;activo
419;The mailman brought two letters;activo
420;John and Lucy were watching television.;activo
421;The kids are enjoying the game.;activo
422;My auntie will bake cookies for my birthday;activo
423;The cookies for my birthday will be baked by my auntie;pasivo
424;A stone was being thrown by the kid ;pasivo
425;A car has been bought by him ;pasivo
426;Sam repaired the car;activo
427;The car was repaired by Sam;pasivo
428;The salesman was helping the customer when the thief came into the store;activo
429;The customer was being helped by the salesman when the thief came into the store;pasivo
430;Many tourists have visited that castle;activo
431;That castle has been visited by many tourists;pasivo
432;The door had been knocked at by someone;pasivo
433;The fish is eaten by the cat;pasivo
434;George had repaired many cars before he received his mechanic's license;activo
435;Many cars had been repaired by George before he received his mechanic's license;pasivo
436;Chef Jones had been preparing the restaurant's fantastic dinners for two years before he moved to Paris;activo
437;The restaurant's fantastic dinners had been being prepared by Chef Jones for two years before he moved to Paris;pasivo
438;I must write an essay for Monday.;activo
439;Sandra’s cousin is been helped to find house.;pasivo
440;Sandra is helping her cousin to find house.;activo
441;The essay must be written on Sunday afternoon.;pasivo
442;We must have learned this theme for the test.;activo
443;This theme must have been learned for the test.;pasivo
444;The car has been repaired by Harry.;pasivo
445;This program has been seen all the week by me.;pasivo
446; I have seeing this program all the week.;activo
447;Harry has been repairing his car.;activo
448;Madeleine has been traveling to Paris every week.;activo
449;Her luggage has been traveled with her.;pasivo
450;They follow the ice cream car.;activo
451;The ice cream car is followed by the children.;pasivo
452;The war was followed by a political crisis;activo
453;The mailman was bitten by the dog.;activo
454;The child was found in the forest.;pasivo
455;Taxes to be raised next year.;activo
456;The building was design by a German Architect.;pasivo
457;The thief was captured by the police.;pasivo
458;The government has decided to raise taxes next year.;pasivo
459;Someone will finish the work by 5:00 PM;activo
460;The work will be finished by 5:00 PM;pasivo
461;Sally is going to make a beautiful dinner tonight;activo
462;A beautiful dinner is going to be made by Sally tonight;pasivo
463; John will be washing the dishes;activo
464;The dishes will be being washed by John;pasivo
465;John is going to be washing the dishes;activo
466;The dishes are going to be being washed by John;pasivo
467;They will have completed the project before the deadline;activo
468;The project will have been completed before the deadline;pasivo
469;They are going to have completed the project before the deadline;activo
470;The project is going to have been completed before the deadline;pasivo
471;The famous artist will have been painting the mural for over six months by the time it is finished;activo
472;The mural will have been being painted by the famous artist for over six months by the time it is finished;pasivo
473;The famous artist is going to have been painting the mural for over six months by the time it is finished;activo
474;The mural is going to have been being painted by the famous artist for over six months by the time it is finished;pasivo
475;Jerry used to pay the bills;activo
476;The bills used to be paid by Jerry;pasivo
477;My mother would always make the pies;activo
478;The pies would always be made by my mother;pasivo
479;I knew John would finish the work by 5:00 PM;activo
480;I knew the work would be finished by 5:00 PM;pasivo
481;I thought Sally was going to make a beautiful dinner tonight;activo
482;I thought a beautiful dinner was going to be made by Sally tonight;pasivo
483;The results were published in the Journal of the American Medical Association;pasivo
484;A fair grading system was found to be important to all students;pasivo
485;He is taken to school by his mum;pasivo
486;They are being bullied;pasivo
487;Have you been interviewed for many jobs?;pasivo
488;We were told not to touch anything;pasivo
489;Our computers were being attacked by hackers;pasivo
490;His mother had been brought up in India;pasivo
491;Arrangements will be made to move them to other locations;pasivo
492;All the merchandise will have been shipped by tomorrow;pasivo
493;France beat Brazil in the final;activo
494;More than 300 million people speak Spanish;activo
495;"Jack 	will take the matter forward";activo
496;God loves all men;activo
497;Birds build nests;activo
498;Dog eats bones;activo
499;All men are loved by God;pasivo
500;Nests are built by birds;pasivo
501;Bones are eaten by dog;pasivo
502;Columbus discovered America;activo
503;America was discovered by Columbus;pasivo
504;Who did this work?;activo
505;By whom was this work done?;pasivo
506;Open the window;activo
507;Let the window be opened;pasivo
508;He is writing a letter;activo
509;A letter is being written by him;pasivo
510;The work will be finished by me;activo
511;I will finish the work;pasivo
512;Somebody cleaned the room yesterday;activo
513;The room was cleaned yesterday;pasivo
514;We must keep the rule;activo
515;The rule must be kept by us;pasivo
516;You bought a book;activo
517;A book have been bought by you;pasivo
518;He closed the window;activo
519;The window was closed by him;pasivo
520;She was writing letters;activo
521;Letters were being written by her;pasivo
522;I had posted a letter;activo
523;A letter had been posted by me;pasivo
524;I do not drink tea;activo
525;Tea is not drunk by me;pasivo
526;She does not eat a mango;activo
527;A mango is not eaten by her;pasivo
528;He will have finished his work;activo
529;The work will have been finished by him;pasivo
530;They are digging a well;activo
531;A well is being dug by them;pasivo
532;Help me;activo
533;Let me be helped;pasivo
534;Sing a song;activo
535;Let a song be sing;pasivo
536;Open the door;activo
537;Let the door be opened;pasivo
538;Don’t eat this fruit;activo
539;Let not this fruit be eaten;pasivo
540;Are you writing a letter?;activo
541;Is a letter being written by you?;pasivo
542;Is she beating the child?;activo
543;Is the child beaten by her?;pasivo
544;Will you accept the position?;activo
545;Will the position be accepted by you?;pasivo
546;Who broke the window?;activo
547;By whom was the window broken?;pasivo
548;"Why did you write such a letter?	";activo
549;Why was such a letter written by you?;pasivo
550;Where can you hide this box?;activo
551;Where can this box be hidden by you?;pasivo
552;Francis builds a house;activo
553;Pierre is making a lemon pie;activo
554;The thief was finally arrested;activo
555;The police finally arrested the thief;pasivo
556;We were taught grammar;activo
557;The teacher taught us grammar;pasivo
558;My purse has been stolen;activo
559;Somebody has stolen my purse;pasivo
560;"The patients were looked after	";activo
561;A house is built by Francis;pasivo
562;The contract has been signed by Charles;pasivo
563;Allan had already stolen the car when the police arrived;activo
564;The car had already been stolen by Allan when the police arrived;pasivo
565;He is very well known by them;activo
566;The room was painted by her;activo
567;The car was bought by his father;activo
568;That show was given by the actress;activo
569;The dinner was made by Melanie;activo
570;The computer was fixed by the engineer;activo
571;Those grades were changed by a cheater;activo
572;That bag was bought by Joan;activo
573;The kids will be punished by their mother;activo
574;Jason was congratulated by the teacher;activo
575;Your document has been translated;activo
576;Your file was downloaded;activo
577;All the work was made by Rodrigo;activo
578;My sweter was made in Mexico;activo
579;That church was built during the 15th century;activo
580;The ape is going to be received by the specialist;activo
581;My phone was repaired by Jessica;activo
582;The text was corrected by tmy english teacher;activo
583;The water had been contaminated by that Factory;activo
584;Jerry washes the car;activo
585;The car is washed by Jerry;pasivo
586;Kyle is typing the essay;activo
587;The essay is being typed by Kyle;pasivo
588;Tanya returned the gift;activo
589;The gift was returned by Tanya;pasivo
590;The officer was writing the ticket when the truck sped past us;activo
591;The ticket was being written by the officer when the truck sped past us;pasivo
592;Many tourists have visited the Carlsbad Caves;activo
593;The Carlsbad Caves have been visited by many tourists;pasivo
594;A book was offered to them by her;pasivo
595; The jackpot will be won by her ;pasivo
596;Joan had taught many international students before she began her job here;activo
597;Many international students had been taught by Joan before she began her job here;pasivo
598;Stephen Colbert had been writing comedy routines for many years before he worked on The Daily Show;activo
599;Comedy routines had been being written by Stephen Colbert for many years before he worked on The Daily Show;pasivo
600;Someone will open the store at 8:00 AM;activo
601;The store will be opened at 8:00 AM;pasivo
602;My sister is going to host a party tonight;activo
603;A party is going to be hosted by my sister tonight;pasivo
604; Lalo will be reading the biology assignment;activo
605;The biology assignment will be being read by Lalo;pasivo
606;Mary is going to be washing the dog;activo
607;The dog is going to be being washed by Mary;pasivo
608;They will have played ten basketball games before the end of March;activo
609;Ten basketball games will have been played before the end of March;pasivo
610;They are going to have played ten basketball games before the end of March;activo
611;Ten basketball games are going to have been played before the end of March;pasivo
612;Jose and Margo will have been remodeling the house for over nine months by the time it is completed;activo
613;The house will have been being remodeled by Jose and Margo for over nine months by the time it is completed;pasivo
614;Jose and Margo are going to have been remodeling the house for over nine months by the time it is completed;activo
615;The house is going to have been being painted by Jose and Margo for over nine months by the time it is completed;pasivo
616;Elise used to drive the bus;activo
617;The bus used to be driven by Elise;pasivo
618;My aunt would always make Thanksgiving dinner;activo
619;Thanksgiving dinner would always be made by my aunt;pasivo
620;The teacher knew the students would finish the test in an hour;activo
621;The teacher knew the test would be finished in an hour;pasivo
622;We thought our class was going to take a test today;activo
623;We thought a test was going to be taken by our class today;pasivo
624;The dessert was eaten by those women;activo
625;People make a lot of wine in La Rioja.;activo
626;A lot of wine is made in La Rioja.;pasivo
627;A Chinese factory manufactures these phones.;activo
628;These phones are manufactured in China.;pasivo
629;Australians speak English.;activo
630;English is spoken in Australia.;pasivo
631;The Romans built this bridge over 2000 years ago.;activo
632;This bridge was built by the Romans over 2000 years ago.;activo
633;The Wright brothers invented the airplane in 1903.;activo
634;The airplane was invented by the Wright Brothers in 1903.;activo
635;My mother made the cake.;activo
636;The cake was made by my mother.;activo
637;Julia bought the new Game of Thrones book;activo
638;The new Game of Thrones book was bought by Julia;pasivo
639;Jim writes a letter;activo
640;A letter is written by Jim;pasivo
641;Jim wrote a letter;activo
642;A letter was written by Jim;pasivo
643;I will finish the project tomorrow.;activo
644;The project will be finished tomorrow.;pasivo
645;Peter will make dinner on Saturday.;activo
646;Dinner will be made by Peter on Saturday.;pasivo
647;He will receive your letter on Thursday.;activo
648;Your letter will be received on Thursday.;pasivo
649;Mary is making tea right now.;activo
650;The tea is being made right now.;pasivo
651;Scientists are discovering new planets every day.;activo
652;New planets are being discovered every day.;pasivo
653;Businesses are creating new jobs every month.;activo
654;New jobs are being created every month.;pasivo
655;A laboratory in Sweden has created a new medicine.;activo
656;A new medicine has been created in a laboratory in Sweden.;pasivo
657;Mr Thompson has sold seven cars this month.;activo
658;Seven cars have been sold this month.;pasivo
659;The political parties have formed a new government in South Africa.;activo
660;A new government has been formed in South Africa;pasivo
661;The cake will be eaten by Walter;pasivo
662;The mail is delivered by Andy every day;pasivo
663;The city was captured by the enemy;pasivo
664;His house was destroyed by the fire;pasivo
665;The doll house was built by Susana;pasivo
666;Susana built the doll house;activo
667;We were questioned by the police;pasivo
668;The letter will be written by the manager;pasivo
669;John writes the letter;activo
670;The letter is written by John;pasivo
671;John is writing the letter;activo
672;Jim will write a letter.;activo
673;A letter will be written by Jim.;pasivo
674;Jim has written a letter;activo
675;A letter has been written by Jim.;pasivo
676;The letter has been sent by my father;pasivo
677;Two suspects have been arrested by police;pasivo
678;The war was followed by a political crisis;pasivo
679;The money was returned by Kelly;pasivo
680;The thief was captured by the police;pasivo
681;Alex posted the video on Facebook.;activo
682;The video was posted on Facebook by Alex.;pasivo
683;The director will give you instructions.;activo
684;Instructions will be given to you by the director.;pasivo
685;Thousands of tourists view the Grand Canyon every year.;activo
686;My purse has been stolen;activo
687;Somebody has stolen my purse;pasivo
688;The patients were looked after;activo
689;A house is built by Francis;pasivo
690;The contract has been signed by Charles;pasivo
691;Allan had already stolen the car when the police arrived;activo
692;The car had already been stolen by Allan when the police arrived;pasivo
693;A beautiful dinner is going to be made by Sally tonight;pasivo
694;John will be washing the dishes;activo
695;The dishes will be being washed by John;pasivo
696;John is going to be washing the dishes;activo
697;The dishes are going to be being washed by John;pasivo
698;They will have completed the project before the deadline;activo
699;The project will have been completed before the deadline;pasivo
700;They are going to have completed the project before the deadline;activo
701;The project is going to have been completed before the deadline;pasivo
702;The famous artist will have been painting the mural for over six months by the time it is finished;activo
703;The mural will have been being painted by the famous artist for over six months by the time it is finished;pasivo
704;The famous artist is going to have been painting the mural for over six months by the time it is finished;activo
705;The mural is going to have been being painted by the famous artist for over six months by the time it is finished;pasivo
706;He ate all of the cookies;activo
707;All of the cookies were eaten.;pasivo
708;Mark Twain wrote the book;activo
709;The book was written by Mark Twain.;pasivo
710;The housekeeper will clean the room.;activo
711;The room will be cleaned by the housekeeper.;pasivo
712;Francis builds a house;activo
713;A house is built by Francis;pasivo
714;Pierre is making a lemon pie;activo
715;A lemon pie is being made by Pierre;pasivo
716;Helen wrote a history book;activo
717;A history book was written by Helen;pasivo
718;The doll house was built by Susana;pasivo
719;The letter will be written by the manager.;pasivo
720;We were questioned by the police;pasivo
721;Peter was making dinner;activo
722;Dinner was being made by Peter;pasivo
723;Susan will send the email tonight;activo
724;They buy the house;activo
725;They are buying the house;activo
726;They bought the house;activo
727;They were buying the house;activo
728;They bought the house;activo
729;They were buying the house;activo
